bank account or service,2012,2,2,50
bank account or service,2013,2,2,50
bank account or service,2014,1,1,100
bank account or service,2015,4,4,25
bank account or service,2016,16,5,69
bank account or service,2017,4,4,25
checking or savings account,2017,73,38,10
checking or savings account,2018,300,43,20
checking or savings account,2019,7503,173,17
checking or savings account,2020,44,19,16
consumer loan,2013,1,1,100
consumer loan,2015,9,6,22
consumer loan,2016,8,8,12
consumer loan,2017,1,1,100
credit card,2012,2,2,50
credit card,2013,1,1,100
credit card,2015,6,5,33
credit card,2016,11,6,36
credit card,2017,2,2,50
credit card or prepaid card,2017,42,17,33
credit card or prepaid card,2018,285,36,19
credit card or prepaid card,2019,8819,146,16
credit card or prepaid card,2020,41,15,32
credit reporting,2014,1,1,100
credit reporting,2015,1,1,100
credit reporting,2016,5,3,60
credit reporting,2017,10,4,50
"credit reporting, credit repair services, or other personal consumer reports",2017,61,24,33
"credit reporting, credit repair services, or other personal consumer reports",2018,1584,115,48
"credit reporting, credit repair services, or other personal consumer reports",2019,45756,875,36
"credit reporting, credit repair services, or other personal consumer reports",2020,429,40,46
debt collection,2014,8,7,25
debt collection,2015,17,10,29
debt collection,2016,40,15,45
debt collection,2017,97,60,22
debt collection,2018,598,247,12
debt collection,2019,17702,1530,5
debt collection,2020,128,76,12
"money transfer, virtual currency, or money service",2017,8,7,25
"money transfer, virtual currency, or money service",2018,58,22,17
"money transfer, virtual currency, or money service",2019,1765,160,29
"money transfer, virtual currency, or money service",2020,17,10,29
money transfers,2016,2,2,50
mortgage,2012,1,1,100
mortgage,2013,3,3,33
mortgage,2014,3,3,33
mortgage,2015,13,10,23
mortgage,2016,32,18,25
mortgage,2017,90,47,17
mortgage,2018,379,100,15
mortgage,2019,7605,429,9
mortgage,2020,32,22,16
other financial service,2014,2,2,50
other financial service,2016,1,1,100
other financial service,2017,1,1,100
payday loan,2014,1,1,100
payday loan,2015,2,2,50
payday loan,2016,4,1,100
payday loan,2017,1,1,100
"payday loan, title loan, or personal loan",2017,9,9,11
"payday loan, title loan, or personal loan",2018,63,34,19
"payday loan, title loan, or personal loan",2019,1536,301,4
"payday loan, title loan, or personal loan",2020,8,7,25
prepaid card,2014,1,1,100
prepaid card,2017,1,1,100
student loan,2013,1,1,100
student loan,2014,3,2,67
student loan,2015,1,1,100
student loan,2016,3,2,67
student loan,2017,15,8,40
student loan,2018,69,14,46
student loan,2019,2584,130,41
student loan,2020,6,4,33
vehicle loan or lease,2017,9,6,44
vehicle loan or lease,2018,65,32,9
vehicle loan or lease,2019,1983,199,15
vehicle loan or lease,2020,9,9,11
